match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8918176547,1696,1785255819,10207521.0,KW,10164236.0,PuckChamp,19944,EPL Masters 2026 ,1125169.0,1.0,14,35,False,22.0
8918052500,1982,1785251396,10207521.0,KW,10164236.0,PuckChamp,19944,EPL Masters 2026 ,1125169.0,1.0,18,36,False,22.0
8917853656,3810,1785244242,10001885.0,No Hoodwink,10164236.0,PuckChamp,19944,EPL Masters 2026 ,1125096.0,1.0,37,35,True,22.0
8917738415,2304,1785240138,10001885.0,No Hoodwink,10164236.0,PuckChamp,19944,EPL Masters 2026 ,1125096.0,1.0,24,19,True,22.0
8917675823,1520,1785236684,55.0,_PowerRangers,5014799.0,Nemiga Gaming,19944,EPL Masters 2026 ,1125080.0,1.0,28,7,True,22.0
8917611319,1923,1785232942,5014799.0,Nemiga Gaming,55.0,_PowerRangers,19944,EPL Masters 2026 ,1125080.0,1.0,35,19,True,22.0
8917547035,2021,1785229382,55.0,_PowerRangers,5014799.0,Nemiga Gaming,19944,EPL Masters 2026 ,1125080.0,1.0,26,16,True,22.0
8917262980,2857,1785204508,10207448.0,Team King Potato,10207444.0,Team Virsatus,20030,The Boris Invitational: Streamer Battles 2,1125034.0,0.0,31,41,False,22.0
8917257712,2904,1785203952,10207446.0,TEAM MONKEYS,10207445.0,Team dnm,20030,The Boris Invitational: Streamer Battles 2,1125031.0,0.0,39,34,True,22.0
8917254806,2364,1785203602,10207447.0,Team Nyx,10151099.0,Team iAnnihilate,20030,The Boris Invitational: Streamer Battles 2,1125030.0,0.0,36,26,True,22.0
8917254024,2705,1785203541,10151106.0,Team Boris,10207449.0,team gunnar,20030,The Boris Invitational: Streamer Battles 2,1125029.0,0.0,58,17,True,22.0
8917212987,3253,1785199375,10207444.0,Team Virsatus,10207445.0,Team dnm,20030,The Boris Invitational: Streamer Battles 2,1125013.0,0.0,25,53,True,22.0
8917212743,1452,1785199397,10151099.0,Team iAnnihilate,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1125012.0,0.0,11,35,False,22.0
8917210977,2659,1785199258,10207449.0,team gunnar,10207448.0,Team King Potato,20030,The Boris Invitational: Streamer Battles 2,1125011.0,0.0,25,49,False,22.0
8917209479,2987,1785199159,10207447.0,Team Nyx,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1125010.0,0.0,38,48,False,22.0
8917168222,1979,1785195064,10207448.0,Team King Potato,10151099.0,Team iAnnihilate,20030,The Boris Invitational: Streamer Battles 2,1124996.0,0.0,44,24,True,22.0
8917165599,2775,1785194786,10207446.0,TEAM MONKEYS,10207444.0,Team Virsatus,20030,The Boris Invitational: Streamer Battles 2,1124995.0,0.0,35,39,True,22.0
8917164767,2604,1785194747,10207449.0,team gunnar,10207445.0,Team dnm,20030,The Boris Invitational: Streamer Battles 2,1124994.0,0.0,47,31,True,22.0
8917163910,3021,1785194629,10151106.0,Team Boris,10207447.0,Team Nyx,20030,The Boris Invitational: Streamer Battles 2,1124993.0,0.0,49,49,False,22.0
8917118820,2828,1785190999,10207444.0,Team Virsatus,10207447.0,Team Nyx,20030,The Boris Invitational: Streamer Battles 2,1124979.0,0.0,37,48,False,22.0
8917108610,2539,1785190417,10207449.0,team gunnar,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1124976.0,0.0,26,38,False,22.0
8917108425,2618,1785190336,10207448.0,Team King Potato,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1124975.0,0.0,40,27,True,22.0
8917108152,2936,1785190301,10207445.0,Team dnm,10151099.0,Team iAnnihilate,20030,The Boris Invitational: Streamer Battles 2,1124974.0,0.0,50,24,True,22.0
8916474664,2535,1785162769,5014799.0,Nemiga Gaming,10182865.0,Syntax,19944,EPL Masters 2026 ,1124795.0,1.0,35,39,False,22.0
8916384577,1934,1785159244,5014799.0,Nemiga Gaming,10182865.0,Syntax,19944,EPL Masters 2026 ,1124795.0,1.0,20,36,False,22.0
8916245727,3147,1785154183,10182865.0,Syntax,5014799.0,Nemiga Gaming,19944,EPL Masters 2026 ,1124795.0,1.0,32,41,False,22.0
8916102349,3036,1785146369,10164236.0,PuckChamp,9256405.0,Level UP esports,19944,EPL Masters 2026 ,1124773.0,1.0,31,40,False,22.0
8916041863,1376,1785143256,9256405.0,Level UP esports,10164236.0,PuckChamp,19944,EPL Masters 2026 ,1124773.0,1.0,30,5,True,22.0
