match_id,start_time,duration,radiant_win,radiant_team_id,dire_team_id,leagueid,patch,radiant_roster,dire_roster
8824818736,1779704173,2496,True,9593609.0,8831040.0,18867,60,1634724608;236214375;1029972951;1023487276;1712916118,1251984026;878549965;800862190;1136465061;876889985
8824818274,1779704111,1371,False,9767998.0,9768002.0,18959,60,1750435217;1750916329;1750577069;1750248703;1749630639,1750299292;1750510331;1750623235;1749799475;808766025
8824780469,1779701481,2061,False,9768002.0,9767998.0,18959,60,1749799475;1750510331;1750299292;1750623235;808766025,1750916329;1749630639;1750577069;1750248703;1750435217
8824759922,1779699823,2202,True,9906210.0,8831040.0,18867,60,1712916118;1868210186;1171975340;1674266188;1056145299,1251984026;339941742;800862190;878549965;236214375
8824746223,1779698800,1906,False,9426115.0,9425656.0,18959,60,1068676453;412910858;1090568489;183270733;176158708,1621497616;1621570409;1622405666;397206052;1621422877
8824744144,1779698603,1666,False,10144667.0,9885310.0,19545,60,153727297;874735136;290354460;292829433;97822451,1101855381;137895298;165178538;164530809;135607261
8824705549,1779695764,3106,False,8831040.0,9729268.0,18867,60,1251984026;800862190;878549965;236214375;339941742,1712916118;1674266188;1171975340;1868210186;1056145299
8824701764,1779695195,2764,False,9425656.0,9426115.0,18959,60,1621497616;1621570409;397206052;1622405666;1621422877,412910858;1090568489;183270733;176158708;1068676453
8824695579,1779694725,2308,False,10144667.0,9885310.0,19545,60,153727297;874735136;292829433;290354460;97822451,1101855381;137895298;165178538;164530809;135607261
8824665813,1779691861,2096,False,9426115.0,9425656.0,18959,60,412910858;183270733;1090568489;1068676453;176158708,1621497616;1621422877;1622405666;1621570409;397206052
8824662057,1779691441,2005,False,9729342.0,9684245.0,18867,60,1674266188;1171975340;1364579990;1739519173;1868210186,1029972951;236214375;878549965;1829839317;130433320
8824655937,1779690887,1695,False,10129133.0,9098294.0,19545,60,274049880;125189164;244660375;398896331;494553157,252551173;389033587;333700720;274078636;242835570
8824654347,1779690702,1814,True,9814269.0,9878494.0,18959,60,1903287666;1903043745;1902782463;1902738528;1902976475,1904129499;1903247233;1903997264;1902895053;1902237853
8824639477,1779689174,1732,False,2443375.0,9768243.0,18959,60,1045494300;1103355581;181339278;80599925;301477244,1880066287;1880011613;1880979563;1880007196;1879746018
8824629464,1779688178,1757,False,9878494.0,9814269.0,18959,60,1904129499;1902895053;1903247233;1903997264;1902237853,1903287666;1902782463;1903043745;1902976475;1902738528
8824623694,1779687523,1739,True,10129133.0,9098294.0,19545,60,274049880;398896331;244660375;494553157;125189164,252551173;389033587;242835570;274078636;333700720
8824623058,1779687576,1688,True,9684245.0,9729342.0,18867,60,130433320;878549965;236214375;1829839317;1029972951,1364579990;1739519173;307331749;1868210186;1171975340
8824613618,1779686538,1987,True,9768243.0,2443375.0,18959,60,1880066287;1880979563;1879746018;1880011613;1880007196,1045494300;80599925;1103355581;301477244;181339278
8824604238,1779685511,1776,False,10145429.0,9767998.0,18959,60,1925436567;1925062076;1924874376;1924555376;1927064773,1750248703;1750577069;1750916329;1750435217;1749630639
8824595265,1779684539,1043,True,9768002.0,8629315.0,18959,60,1750623235;1749799475;1750510331;1750299292;808766025,1170923497;202984325;1232094007;162724090;992327405
8824589210,1779683861,1897,True,9545354.0,9564441.0,18867,60,1146548664;307331749;1364579990;1829839317;1739519173,236214375;1868210186;878549965;130433320;1712916118
8824576340,1779682468,2970,False,10129133.0,9098294.0,19545,60,274049880;125189164;244660375;494553157;398896331,252551173;389033587;274078636;242835570;333700720
8824575663,1779682448,2041,True,9767998.0,10145429.0,18959,60,1750248703;1750577069;1749630639;1750435217;1750916329,1925436567;1925062076;1924874376;1924555376;1927064773
8824572586,1779682110,1779,False,8629315.0,9768002.0,18959,60,1170923497;162724090;1232094007;202984325;992327405,1750623235;1750299292;1750510331;1749799475;808766025
8824543327,1779678937,2564,False,9564441.0,9545354.0,18867,60,1868210186;130433320;878549965;236214375;1712916118,1829839317;307331749;1364579990;1146548664;1739519173
8824529565,1779677408,1502,True,8849850.0,8849837.0,19201,60,192275954;250144463;338946567;357479732;406522933,422351924;332180099;122574061;342667282;358303866
8824510311,1779675254,1585,False,8849837.0,8849850.0,19201,60,358303866;342667282;332180099;422351924;122574061,357479732;250144463;406522933;192275954;338946567
8824509351,1779675107,3768,False,,,19752,60,896329538;486136064;888477316;454424529;292803721,412272556;1289113611;50871324;1096757201;352137522
8824486874,1779672604,2120,False,8849850.0,8849837.0,19201,60,357479732;192275954;338946567;406522933;250144463,358303866;342667282;332180099;422351924;122574061
8824462450,1779669695,2216,True,9025669.0,9048057.0,19201,60,844586465;307624442;338281289;315850275;169359670,294245092;279486190;164322994;177062248;154357932
8824442715,1779667392,1740,False,9048057.0,9025669.0,19201,60,294245092;164322994;279486190;177062248;154357932,844586465;338281289;315850275;307624442;169359670
